mu,nmi_mean,nmi_std,p/r_mean,p/r_std,time_mean,time_std
0.1,0.837135103,0.011771112,1.372998064,0.237743548,0.451289456,0.022243345
0.12,0.836439537,0.00916935,1.368809805,0.208487734,0.47662442,0.051750494
0.14,0.832167238,0.010483421,1.373458217,0.211248932,0.455072167,0.053092896
0.16,0.832805032,0.009532355,1.330660632,0.195151721,0.408166399,0.025995831
0.18,0.829499623,0.010310899,1.341358944,0.20870674,0.404623201,0.028859025
0.2,0.82927538,0.010902214,1.330527823,0.199237539,0.403162146,0.023760752
0.22,0.829265733,0.010023335,1.34518589,0.249702119,0.414620023,0.042675493
0.24,0.829698329,0.008923732,1.348025162,0.200173446,0.478707254,0.090409462
0.26,0.827721261,0.010905393,1.363698812,0.20451012,0.450470359,0.046905798
0.28,0.828848939,0.010251026,1.299291965,0.189054592,0.434486103,0.031290291
0.3,0.82789255,0.009208376,1.301319302,0.175514469,0.43018584,0.03305355
0.32,0.825149795,0.010138429,1.334290623,0.196077829,0.436451535,0.057081174
0.34,0.824197999,0.010836353,1.362190693,0.208638661,0.407462716,0.042328531
0.36,0.823649134,0.010065755,1.329366956,0.19905175,0.398883767,0.026567009
0.38,0.819039782,0.011094909,1.347826225,0.204538502,0.399586759,0.025270374
0.4,0.816617162,0.011683316,1.364564216,0.200546083,0.403647234,0.030784308
0.42,0.809697295,0.014191556,1.356380281,0.214484234,0.401865091,0.02721071
0.44,0.801524386,0.013961083,1.388343241,0.210742813,0.407208204,0.035828485
0.46,0.793231201,0.014191901,1.385629272,0.192435632,0.414590662,0.155419999
0.48,0.775630875,0.014702462,1.404562699,0.208298955,0.481668684,0.321809116
0.5,0.765531378,0.015275942,1.429919659,0.200679593,0.423229506,0.037567339
0.52,0.738894058,0.018570328,1.423581345,0.24826618,0.454003942,0.101734464
0.54,0.721435753,0.02056777,1.437849434,0.194453821,0.412526231,0.042518601
0.56,0.695006196,0.023624709,1.386678279,0.166263619,0.414911561,0.038497525
0.58,0.658290345,0.02394547,1.346599965,0.179836626,0.419395049,0.093098681
0.6,0.623077728,0.027308578,1.307326673,0.152741033,0.409253733,0.03667747
0.62,0.58367646,0.027590151,1.303921199,0.167246236,0.627680814,0.760029594
0.64,0.536834582,0.030564741,1.226563057,0.128186762,0.402248614,0.03097405
0.66,0.490663019,0.029786187,1.148915358,0.135282714,0.397114284,0.037723904
0.68,0.433796102,0.029552622,1.138191585,0.116063898,0.402075262,0.036435102
0.7,0.395275449,0.027949418,1.109788415,0.105267629,0.430315537,0.052587065
0.72,0.341225342,0.025774391,1.075790282,0.102657006,0.450553751,0.06342008
0.74,0.304134604,0.023787113,1.075858831,0.099896905,0.458331037,0.232815936
0.76,0.267021269,0.019478587,1.068878509,0.098063893,0.461533785,0.244370111
0.78,0.24046599,0.016630749,1.081069341,0.106744577,0.471354737,0.244463908
0.8,0.218472349,0.018177357,1.093295501,0.104472623,0.510541072,0.352505542
