The file dolphins.gml contains an undirected social network of frequent
associations between 62 dolphins in a community living off Doubtful Sound,
New Zealand, as compiled by Lusseau et al. (2003).  Please cite

  D. Lusseau, K. Schneider, O. J. Boisseau, P. Haase, E. Slooten, and
  S. M. Dawson, The bottlenose dolphin community of Doubtful Sound features
  a large proportion of long-lasting associations, Behavioral Ecology and
  Sociobiology 54, 396-405 (2003).

Additional information on the network can be found in

  D. Lusseau, The emergent properties of a dolphin social network,
  Proc. R. Soc. London B (suppl.) 270, S186-S188 (2003).

  D. Lusseau, Evidence for social role in a dolphin social network,
  Preprint q-bio/0607048 (http://arxiv.org/abs/q-bio.PE/0607048)

ID	Label
0	Beak
1	Beescratch
2	Bumper
3	CCL
4	Cross
5	DN16
6	DN21
7	DN63
8	Double
9	Feather
10	Fish
11	Five
12	Fork
13	Gallatin
14	Grin
15	Haecksel
16	Hook
17	Jet
18	Jonah
19	Knit
20	Kringel
21	MN105
22	MN23
23	MN60
24	MN83
25	Mus
26	Notch
27	Number1
28	Oscar
29	Patchback
30	PL
31	Quasi
32	Ripplefluke
33	Scabs
34	Shmuddel
35	SMN5
36	SN100
37	SN4
38	SN63
39	SN89
40	SN9
41	SN90
42	SN96
43	Stripes
44	Thumper
45	Topless
46	TR120
47	TR77
48	TR82
49	TR88
50	TR99
51	Trigger
52	TSN103
53	TSN83
54	Upbang
55	Vau
56	Wave
57	Web
58	Whitetip
59	Zap
60	Zig
61	Zipfel
